0	0	3
1	0	1
2	0	1
4	0	7
5	0	1
9	0	1
10	0	7
11	0	1
12	0	1
16	0	2
17	0	3
18	0	5
19	0	1
20	0	3
21	0	1
23	0	1
25	0	1
27	0	4
28	0	1
35	0	3
38	0	5
45	0	3
54	0	4
58	0	2
69	0	1
70	0	1
84	0	1
97	0	2
99	0	1
106	0	4
111	0	1
114	0	2
117	0	3
118	0	1
120	0	1
129	0	3
133	0	1
139	0	1
144	0	1
152	0	1
153	0	3
163	0	1
167	0	1
172	0	1
173	0	1
174	0	2
177	0	1
179	0	1
182	0	1
186	0	1
191	0	1
194	0	1
204	0	2
212	0	1
215	0	1
220	0	1
221	0	1
225	0	1
229	0	2
233	0	1
238	0	1
252	0	1
277	0	1
278	0	1
286	0	1
287	0	2
290	0	1
291	0	2
297	0	1
311	0	2
324	0	1
333	0	1
343	0	1
351	0	1
352	0	10
356	0	1
393	0	1
398	0	1
399	0	1
422	0	1
423	0	1
478	0	4
486	0	1
497	0	1
501	0	1
507	0	1
520	0	1
523	0	1
534	0	1
550	0	3
551	0	1
570	0	1
590	0	1
593	0	1
605	0	1
682	0	1
720	0	1
760	0	1
837	0	1
914	0	1
958	0	1
1005	0	1
1063	0	2
1074	0	1
1142	0	1
1170	0	1
1172	0	1
1204	0	2
1287	0	1
1369	0	2
1631	0	3
1648	0	1
1872	0	1
1877	0	1
2011	0	1
2447	0	1
2832	0	2
3067	0	1
3207	0	1
3533	0	1
3603	0	1
3926	0	2
4472	0	1
4788	0	1
4883	0	1
5103	0	1
5330	0	1
6440	0	1
6569	0	1
7735	0	1
7840	0	1
8363	0	1
11886	0	1
20046	0	1
0	1	1
1	1	5
2	1	9
3	1	3
4	1	4
7	1	3
8	1	2
13	1	1
19	1	2
20	1	2
23	1	4
24	1	3
25	1	1
27	1	1
28	1	7
31	1	1
34	1	1
35	1	1
36	1	1
38	1	3
39	1	1
40	1	5
42	1	2
47	1	1
53	1	1
54	1	1
60	1	1
61	1	2
64	1	1
65	1	1
71	1	3
73	1	1
74	1	4
75	1	1
77	1	1
80	1	2
90	1	1
96	1	7
107	1	1
108	1	1
113	1	1
120	1	2
122	1	1
124	1	3
127	1	3
130	1	1
135	1	1
139	1	3
147	1	1
148	1	2
150	1	1
152	1	1
156	1	1
163	1	5
168	1	1
170	1	1
177	1	2
185	1	1
191	1	1
201	1	3
208	1	4
220	1	1
221	1	1
226	1	1
230	1	1
239	1	2
242	1	1
244	1	1
248	1	1
259	1	1
265	1	1
275	1	1
276	1	1
284	1	9
285	1	1
287	1	1
300	1	3
326	1	1
352	1	1
353	1	3
362	1	1
367	1	2
368	1	1
375	1	1
396	1	1
398	1	1
406	1	2
417	1	1
422	1	8
423	1	2
434	1	1
438	1	1
447	1	1
460	1	2
491	1	1
493	1	1
505	1	2
514	1	1
515	1	1
539	1	1
570	1	1
590	1	1
593	1	1
603	1	1
608	1	1
627	1	1
641	1	2
718	1	1
720	1	6
730	1	1
749	1	2
806	1	1
845	1	1
868	1	3
873	1	1
876	1	3
877	1	1
896	1	1
903	1	1
942	1	1
975	1	1
992	1	4
1048	1	5
1076	1	1
1110	1	2
1156	1	3
1175	1	3
1293	1	2
1297	1	1
1317	1	1
1334	1	1
1352	1	1
1388	1	1
1405	1	1
1407	1	2
1432	1	1
1436	1	2
1456	1	1
1512	1	1
1545	1	2
1548	1	1
1634	1	4
1711	1	4
1724	1	1
1727	1	1
1797	1	1
1896	1	1
1910	1	1
2315	1	1
2330	1	1
2405	1	1
2425	1	1
2531	1	17
2600	1	1
2718	1	1
3009	1	4
3156	1	1
3453	1	3
3472	1	1
3488	1	1
